W&B run: https://wandb.ai/vuongcris4-hcmute/thietkedenoiser/runs/vrylq49n
OpenEarthMap train: 2303 samples
OpenEarthMap val: 384 samples
Model params: 24.5M total, 24.5M trainable
/home/ubuntu/thietkedenoiser/src/train_dae.py:274: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()
/home/ubuntu/thietkedenoiser/src/train_dae.py:76: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():
  Batch 20/575 | Loss: 3.5005 | Acc: 0.2969
  Batch 40/575 | Loss: 2.9759 | Acc: 0.4145
  Batch 60/575 | Loss: 2.5291 | Acc: 0.5058
  Batch 80/575 | Loss: 2.5702 | Acc: 0.5651
  Batch 100/575 | Loss: 2.3048 | Acc: 0.6070
  Batch 120/575 | Loss: 2.3323 | Acc: 0.6416
  Batch 140/575 | Loss: 1.9792 | Acc: 0.6628
  Batch 160/575 | Loss: 1.8711 | Acc: 0.6806
  Batch 180/575 | Loss: 1.8819 | Acc: 0.6957
  Batch 200/575 | Loss: 2.1189 | Acc: 0.7085
  Batch 220/575 | Loss: 1.6112 | Acc: 0.7208
  Batch 240/575 | Loss: 1.9594 | Acc: 0.7328
  Batch 260/575 | Loss: 1.5971 | Acc: 0.7425
  Batch 280/575 | Loss: 1.4344 | Acc: 0.7512
  Batch 300/575 | Loss: 1.5567 | Acc: 0.7595
  Batch 320/575 | Loss: 1.6473 | Acc: 0.7670
  Batch 340/575 | Loss: 1.5027 | Acc: 0.7744
  Batch 360/575 | Loss: 1.3892 | Acc: 0.7803
  Batch 380/575 | Loss: 1.4653 | Acc: 0.7863
  Batch 400/575 | Loss: 1.3439 | Acc: 0.7907
  Batch 420/575 | Loss: 1.7720 | Acc: 0.7951
  Batch 440/575 | Loss: 1.2886 | Acc: 0.7990
  Batch 460/575 | Loss: 1.4371 | Acc: 0.8036
  Batch 480/575 | Loss: 1.6631 | Acc: 0.8065
  Batch 500/575 | Loss: 1.4563 | Acc: 0.8091
  Batch 520/575 | Loss: 1.3914 | Acc: 0.8123
  Batch 540/575 | Loss: 1.2194 | Acc: 0.8151
  Batch 560/575 | Loss: 1.2490 | Acc: 0.8181
/home/ubuntu/thietkedenoiser/src/train_dae.py:128: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():
Epoch   1/100 | Train Loss: 1.8534 Acc: 0.8203 | Val Loss: 1.1644 mIoU: 0.7213 | LR: 0.000100 | 96.7s
  IoU: Bare:0.002 Rang:0.718 Deve:0.851 Road:0.811 Tree:0.831 Wate:0.865 Agri:0.805 Buil:0.890
  >>> New best mIoU: 0.7213, saved to checkpoints/dae_unet_resnet34_mixed_20260319_022703_best.pth
  Batch 20/575 | Loss: 1.2337 | Acc: 0.9070
  Batch 40/575 | Loss: 1.3899 | Acc: 0.9044
  Batch 60/575 | Loss: 1.3339 | Acc: 0.9025
  Batch 80/575 | Loss: 1.2503 | Acc: 0.9033
  Batch 100/575 | Loss: 1.5624 | Acc: 0.9029
  Batch 120/575 | Loss: 0.9810 | Acc: 0.9035
  Batch 140/575 | Loss: 1.2535 | Acc: 0.9058
  Batch 160/575 | Loss: 1.1837 | Acc: 0.9074
  Batch 180/575 | Loss: 1.2404 | Acc: 0.9087
  Batch 200/575 | Loss: 1.4608 | Acc: 0.9089
  Batch 220/575 | Loss: 1.1645 | Acc: 0.9091
  Batch 240/575 | Loss: 1.1433 | Acc: 0.9096
  Batch 260/575 | Loss: 1.2242 | Acc: 0.9099
  Batch 280/575 | Loss: 1.1412 | Acc: 0.9099
  Batch 300/575 | Loss: 1.1668 | Acc: 0.9104
  Batch 320/575 | Loss: 0.9484 | Acc: 0.9111
  Batch 340/575 | Loss: 1.3402 | Acc: 0.9114
  Batch 360/575 | Loss: 1.2782 | Acc: 0.9117
  Batch 380/575 | Loss: 1.1646 | Acc: 0.9126
  Batch 400/575 | Loss: 1.0088 | Acc: 0.9131
  Batch 420/575 | Loss: 1.1283 | Acc: 0.9138
  Batch 440/575 | Loss: 1.1614 | Acc: 0.9143
  Batch 460/575 | Loss: 0.9114 | Acc: 0.9147
  Batch 480/575 | Loss: 1.1229 | Acc: 0.9148
  Batch 500/575 | Loss: 1.1460 | Acc: 0.9152
  Batch 520/575 | Loss: 1.1190 | Acc: 0.9151
  Batch 540/575 | Loss: 0.9734 | Acc: 0.9152
  Batch 560/575 | Loss: 1.0005 | Acc: 0.9155
Epoch   2/100 | Train Loss: 1.1593 Acc: 0.9157 | Val Loss: 0.9795 mIoU: 0.7508 | LR: 0.000100 | 79.1s
  IoU: Bare:0.025 Rang:0.769 Deve:0.875 Road:0.816 Tree:0.854 Wate:0.885 Agri:0.861 Buil:0.920
  >>> New best mIoU: 0.7508, saved to checkpoints/dae_unet_resnet34_mixed_20260319_022703_best.pth
  Batch 20/575 | Loss: 1.1171 | Acc: 0.9221
  Batch 40/575 | Loss: 1.0886 | Acc: 0.9234
  Batch 60/575 | Loss: 0.8617 | Acc: 0.9246
  Batch 80/575 | Loss: 1.0996 | Acc: 0.9233
  Batch 100/575 | Loss: 0.8358 | Acc: 0.9249
  Batch 120/575 | Loss: 0.9971 | Acc: 0.9246
  Batch 140/575 | Loss: 0.9723 | Acc: 0.9254
  Batch 160/575 | Loss: 0.9754 | Acc: 0.9255
  Batch 180/575 | Loss: 0.8779 | Acc: 0.9255
  Batch 200/575 | Loss: 1.0921 | Acc: 0.9258
  Batch 220/575 | Loss: 1.0485 | Acc: 0.9262
  Batch 240/575 | Loss: 1.2094 | Acc: 0.9261
  Batch 260/575 | Loss: 1.2426 | Acc: 0.9263
  Batch 280/575 | Loss: 1.1016 | Acc: 0.9272
  Batch 300/575 | Loss: 0.9449 | Acc: 0.9275
  Batch 320/575 | Loss: 0.9374 | Acc: 0.9278
  Batch 340/575 | Loss: 0.8708 | Acc: 0.9285
  Batch 360/575 | Loss: 0.9960 | Acc: 0.9290
  Batch 380/575 | Loss: 1.0511 | Acc: 0.9290
  Batch 400/575 | Loss: 1.0621 | Acc: 0.9295
  Batch 420/575 | Loss: 0.8881 | Acc: 0.9296
  Batch 440/575 | Loss: 1.1205 | Acc: 0.9296
  Batch 460/575 | Loss: 1.1591 | Acc: 0.9298
  Batch 480/575 | Loss: 0.9679 | Acc: 0.9301
  Batch 500/575 | Loss: 0.9987 | Acc: 0.9303
  Batch 520/575 | Loss: 0.9428 | Acc: 0.9306
  Batch 540/575 | Loss: 0.8079 | Acc: 0.9308
  Batch 560/575 | Loss: 0.9022 | Acc: 0.9310
Epoch   3/100 | Train Loss: 1.0013 Acc: 0.9311 | Val Loss: 0.9042 mIoU: 0.8802 | LR: 0.000100 | 70.9s
  IoU: Bare:0.911 Rang:0.841 Deve:0.881 Road:0.846 Tree:0.859 Wate:0.893 Agri:0.885 Buil:0.926
  >>> New best mIoU: 0.8802, saved to checkpoints/dae_unet_resnet34_mixed_20260319_022703_best.pth
  Batch 20/575 | Loss: 0.8914 | Acc: 0.9336
  Batch 40/575 | Loss: 0.9445 | Acc: 0.9341
  Batch 60/575 | Loss: 1.1748 | Acc: 0.9344
  Batch 80/575 | Loss: 0.8478 | Acc: 0.9348
  Batch 100/575 | Loss: 0.7639 | Acc: 0.9369
  Batch 120/575 | Loss: 0.9706 | Acc: 0.9355
  Batch 140/575 | Loss: 0.7873 | Acc: 0.9355
  Batch 160/575 | Loss: 1.1177 | Acc: 0.9362
  Batch 180/575 | Loss: 0.8865 | Acc: 0.9369
  Batch 200/575 | Loss: 0.9802 | Acc: 0.9367
  Batch 220/575 | Loss: 0.9250 | Acc: 0.9369
  Batch 240/575 | Loss: 0.9253 | Acc: 0.9371
  Batch 260/575 | Loss: 0.9517 | Acc: 0.9369
  Batch 280/575 | Loss: 1.1380 | Acc: 0.9370
  Batch 300/575 | Loss: 1.0701 | Acc: 0.9368
  Batch 320/575 | Loss: 0.8975 | Acc: 0.9371
  Batch 340/575 | Loss: 0.9364 | Acc: 0.9373
  Batch 360/575 | Loss: 0.8931 | Acc: 0.9376
  Batch 380/575 | Loss: 0.8000 | Acc: 0.9381
  Batch 400/575 | Loss: 0.9497 | Acc: 0.9382
  Batch 420/575 | Loss: 0.9499 | Acc: 0.9387
  Batch 440/575 | Loss: 0.7684 | Acc: 0.9390
  Batch 460/575 | Loss: 0.8717 | Acc: 0.9390
  Batch 480/575 | Loss: 0.9941 | Acc: 0.9389
  Batch 500/575 | Loss: 0.8814 | Acc: 0.9392
  Batch 520/575 | Loss: 0.8036 | Acc: 0.9393
  Batch 540/575 | Loss: 0.8840 | Acc: 0.9393
  Batch 560/575 | Loss: 0.8853 | Acc: 0.9393
Epoch   4/100 | Train Loss: 0.9176 Acc: 0.9394 | Val Loss: 0.8499 mIoU: 0.8941 | LR: 0.000100 | 70.7s
